Model,ModelClass,ModelFamily
gpt-5.5,Versatile,OpenAI
gpt-5.6-terra,Versatile,OpenAI
claude-sonnet-5,Versatile,Anthropic
claude-4.6-sonnet,Versatile,Anthropic
claude-4.5-sonnet,Versatile,Anthropic
gpt-5.4,Versatile,OpenAI
gpt-5.3-codex,Powerful,OpenAI
claude-opus-4.8,Powerful,Anthropic
claude-opus-4.7,Powerful,Anthropic
claude-opus-4.6,Powerful,Anthropic
claude-opus-4.5,Powerful,Anthropic
gpt-5.6-sol,Powerful,OpenAI
gemini-3.1-pro,Powerful,Google
claude-4.5-haiku,Lightweight,Anthropic
gpt-5.6-luna,Lightweight,OpenAI
gpt-5.4-mini,Lightweight,OpenAI
mai-code-1.1-flash,Lightweight,Microsoft
gemini-3.5-flash,Lightweight,Google
others,Other,Other
auto,Unclassified,Unknown
unknown,Unclassified,Unknown
meta-llama-4,Versatile,Meta
mistral-large-3,Versatile,Mistral
deepseek-v4,Powerful,DeepSeek
